dnn_hidden_1,dnn_hidden_2,dnn_hidden_3,mean_scores
40,30,0,0.5413836240768433
40,20,0,0.541396188735962
10,20,0,0.5413973689079284
20,20,10,0.5414008855819702
0,0,0,0.5414022445678711
40,20,10,0.5414023518562316
30,20,10,0.5414024591445923
20,10,10,0.5414029359817505
10,30,10,0.541403329372406
30,20,20,0.5414035797119141
10,30,30,0.5414037466049194
10,20,30,0.5414037585258484
10,50,20,0.5414045572280883
30,20,0,0.5414050459861756
10,20,20,0.5414052963256836
10,10,10,0.5414061069488525
20,10,0,0.5414068698883057
30,50,0,0.5414075970649719
40,40,30,0.54140784740448
10,10,0,0.5414084792137146
50,10,10,0.5414094805717469
50,0,0,0.5414101600646972
20,20,0,0.5414103150367737
20,50,10,0.5414107322692872
50,30,30,0.5414109706878663
40,40,20,0.5414119124412536
30,20,40,0.5414119124412536
10,40,30,0.5414121508598327
10,10,50,0.5414121747016907
10,10,30,0.5414121866226196
50,40,20,0.5414122462272644
30,10,0,0.5414130806922912
40,20,20,0.5414133906364441
30,50,50,0.5414136171340942
40,10,30,0.541413676738739
20,10,50,0.5414139628410339
10,50,10,0.5414143204689026
50,30,40,0.541414475440979
40,10,0,0.5414147734642029
20,10,40,0.5414148211479187
50,10,30,0.5414154529571533
50,20,10,0.5414158463478088
30,40,0,0.5414160132408142
10,20,10,0.5414160251617431
50,40,40,0.5414160251617431
30,30,20,0.541416335105896
40,10,50,0.5414172172546386
10,40,50,0.5414185643196106
20,40,20,0.5414186000823975
30,10,20,0.5414190649986267
10,40,10,0.5414190769195557
30,10,50,0.5414193630218506
10,30,40,0.5414195656776428
10,30,0,0.5414196252822876
10,10,20,0.5414196729660035
40,40,0,0.541419792175293
20,20,30,0.5414202213287354
50,20,20,0.541420865058899
50,10,20,0.5414208769798279
30,40,10,0.5414209842681885
20,40,40,0.5414211392402649
10,20,40,0.5414213061332702
50,30,0,0.5414213895797729
30,40,40,0.5414216160774231
20,20,40,0.5414223670959473
40,50,10,0.5414226055145264
20,40,0,0.5414229750633239
40,50,0,0.5414246916770935
30,30,40,0.5414249062538147
30,10,30,0.5414252042770386
30,50,30,0.5414255261421204
50,40,10,0.5414258003234863
50,30,10,0.5414260387420654
10,40,40,0.5414261221885681
10,50,30,0.5414264678955079
10,20,50,0.5414265513420105
10,50,50,0.5414266586303711
20,30,20,0.5414267897605896
20,10,20,0.5414274096488952
50,30,50,0.5414276480674743
30,30,0,0.5414277076721191
30,30,50,0.5414278864860534
50,30,20,0.5414281725883484
50,50,50,0.5414284586906433
40,30,10,0.5414287447929382
40,50,20,0.5414287686347962
10,40,20,0.5414292693138123
50,50,0,0.5414295196533203
40,20,40,0.5414299726486206
30,50,10,0.5414303064346313
30,40,30,0.5414307475090027
20,40,10,0.5414310097694397
20,20,20,0.5414311766624451
20,40,50,0.5414317965507507
20,30,30,0.5414318323135376
50,10,40,0.5414320707321167
50,10,0,0.5414321780204773
10,40,0,0.5414327502250671
40,20,50,0.5414330363273621
30,10,10,0.5414333939552307
40,10,20,0.541433846950531
50,20,50,0.5414346575736999
50,50,30,0.5414362907409668
30,10,40,0.5414363622665406
40,30,50,0.5414364576339722
50,40,30,0.5414369940757752
10,30,20,0.5414371252059936
40,10,10,0.5414371371269227
40,10,40,0.5414378404617309
10,50,0,0.5414392352104187
40,40,40,0.541439414024353
30,50,40,0.5414400815963745
20,20,50,0.5414404273033142
30,50,20,0.5414406538009644
50,20,40,0.5414409279823303
40,30,30,0.5414411664009094
20,30,0,0.5414411902427674
30,20,50,0.5414413690567017
20,50,0,0.5414417147636413
50,50,10,0.541442584991455
30,40,50,0.5414431095123291
10,30,50,0.5414432048797607
40,20,30,0.5414434313774109
40,30,40,0.5414439082145691
30,20,30,0.5414440512657166
30,30,30,0.5414442777633667
20,30,10,0.5414444804191589
10,10,40,0.5414448857307435
40,50,50,0.5414451718330383
40,30,20,0.5414472818374634
50,50,40,0.5414476275444031
10,50,40,0.5414482593536377
50,50,20,0.541448712348938
50,10,50,0.5414491415023803
30,40,20,0.5414493322372437
20,10,30,0.5414512157440186
50,20,30,0.5414527654647827
30,0,0,0.5414535284042359
10,0,0,0.5414546132087708
40,50,30,0.5414554238319397
20,50,50,0.541456687450409
20,50,20,0.5414585828781128
50,40,0,0.5414589643478394
20,40,30,0.5414618015289306
20,0,0,0.5414630770683289
50,20,0,0.541465425491333
40,40,50,0.5414656043052674
50,40,50,0.5414658188819885
20,50,30,0.5414664387702942
40,40,10,0.5414754152297974
40,50,40,0.5414778113365173
20,30,40,0.5414834499359131
30,30,10,0.5414854049682617
20,50,40,0.5414890050888062
20,30,50,0.5414919257164001
40,0,0,0.5415072321891785
