eta,max_depth,min_child_weight,subsample,colsample_bynode,gamma,lambda,alpha,mean_scores,best_nrounds
0.05,1,20,1,1,0,1,0,1.232246,1602
0.05,1,20,0.85,1,0,1,0,1.2326642,1028
0.05,1,100,0.85,1,0,1,0,1.2328006,1102
0.05,1,100,0.8,1,0,1,0,1.2331156,925
0.05,1,50,0.6,1,0,1,0,1.233388,854
0.05,1,100,0.75,1,0,1,0,1.2334054,931
0.05,1,50,1,1,0,1,0,1.233434,1487
0.05,1,20,0.75,1,0,1,0,1.2337156,828
0.05,1,20,0.8,1,0,1,0,1.2338434,885
0.05,1,50,0.85,1,0,1,0,1.234017,965
0.05,1,100,0.6,1,0,1,0,1.2341874,698
0.05,1,100,1,1,0,1,0,1.2342302,1325
0.05,1,50,0.75,1,0,1,0,1.2346478,827
0.05,1,20,0.6,1,0,1,0,1.2349796,756
0.05,1,50,0.8,1,0,1,0,1.235902,766
