eta,max_depth,min_child_weight,subsample,colsample_bynode,gamma,lambda,alpha,xgb_size_total
0.05,3,100,1,0.85,5,1,1,63715385.18295915
0.05,3,100,1,1,10,10,5,63828233.01404603
0.05,2,100,1,0.75,20,10,5,64317886.5664947
0.05,1,100,1,0.85,20,10,0,65204539.45262347
0.05,1,100,0.85,1,10,5,1,64879700.3695952
0.05,2,100,1,1,20,5,10,64460579.352081865
0.05,1,100,1,0.85,5,1,5,64863719.315501995
0.05,2,100,1,0.85,10,1,1,64242390.534312174
0.05,1,100,1,1,0,5,1,64959526.58734195
0.05,1,100,0.75,0.85,5,1,0,64925814.25729873
0.05,1,100,0.75,0.75,10,10,5,64512042.27574676
0.05,1,100,0.85,0.85,0,1,10,65062505.56887174
0.05,1,100,1,0.75,20,10,1,65230686.08573576
0.05,1,100,1,0.75,0,1,1,64774441.436577246
0.05,2,100,0.85,1,5,10,1,64532023.85633536
0.05,2,100,0.85,0.85,20,5,10,64424981.51581847
0.05,2,100,0.85,0.85,0,5,1,64094596.494297765
0.05,3,100,0.85,1,20,10,1,63327839.85240391
0.05,2,100,1,0.85,5,1,0,64357610.917125985
0.05,1,100,0.85,0.75,20,5,5,65069712.41447724
0.05,2,100,0.75,0.75,5,5,5,64055901.878493346
0.05,3,100,0.75,1,0,1,0,63575730.68484545
0.05,1,100,0.75,1,5,5,1,65365770.80816794
0.05,2,100,0.85,0.85,20,10,5,64471776.90105713
0.05,3,100,0.75,1,20,5,0,63601368.26543879
0.05,1,100,0.75,0.85,5,1,1,64731216.680935815
0.05,3,100,0.85,0.85,20,1,5,64350289.59219278
0.05,1,100,0.85,0.85,20,10,1,64815448.86842535
0.05,2,100,0.85,1,10,5,1,64330241.722694494
0.05,2,100,0.85,0.75,10,1,0,63909079.53389114
